id,domain,mechanism,definition,formula,integration,validation
M293,GPU and rendering,GPU-driven draw-list contract,Visible instances may be compacted into indirect draw or mesh-dispatch commands.,draws=compact(visible and lod_selected),Production target; CPU reference emits ordinary SVG triangles.,Specified; not executed
M294,GPU and rendering,GPU event proposal buffer,"GPU kernels may append bounded event proposals with residual, status and confidence.","proposal=(time,entity,guard,error,confidence,source)",Gameplay state is not committed by an unchecked shader write.,Specified + runtime schema
M295,GPU and rendering,Deterministic authoritative commit boundary,"Verified proposals are ordered by time, priority, source and proposal ID before state patches.","sort_key=(event_time,-priority,source,proposal_id)",Separates parallel detection from authoritative lineage change.,Implemented + tested
M296,GPU and rendering,Vulkan backend profile,"Native target declares Vulkan 1.4-compatible resource, shader and timestamp contracts.",backend=vulkan; physical_gpu_claim requires named device metrics,No physical-GPU benchmark is claimed by this package.,Specified only
M297,GPU and rendering,WebGPU/WGSL portability profile,Portable target expresses compute and presentation kernels in WGSL-compatible layouts.,backend=webgpu; shader_language=WGSL,Prototype shader supplied; browser/device execution remains target-specific.,Prototype supplied
M298,GPU and rendering,CPU SVG reference renderer,"A deterministic camera, painter-order triangle pass and preview shader emit inspectable SVG.",project(p)=focal*(camera_space.xy/camera_space.z),"Regression oracle and demonstrator, not a production renderer.",Implemented + tested
M299,Materials and color,Typed metallic-roughness PBR material,"Base color, metallic, roughness, emissive and alpha mode have bounded ranges.","material=(baseColor,metallic,roughness,emissive,alphaMode)",Maps directly to common runtime asset conventions.,Implemented + tested
M300,Materials and color,Procedural pattern coordinates,"Material graphs may read phase, curvature, arc length, sheet or pattern coordinates.",presentation_value=graph(pattern_context),Allows 2.0 patterns to drive masks and appearance.,Implemented + tested
M301,Materials and color,Acyclic material graph,"Small typed nodes evaluate constants, patterns, add, multiply, mix and clamp operations.",value(node)=op(value(inputs)),Reference graph with explicit cycle rejection.,Implemented + tested
M302,Materials and color,Material authority boundary,Material evaluation is presentation-only and cannot mutate authoritative substrate state.,material_output -> pixels; state change -> guard/event only,Preserves the core reading rule.,Specified + enforced by API shape
M303,Materials and color,Light and shadow contract,"Lights declare kind, direction/color/intensity and shadow intent.","light=(kind,pose,color,intensity,casts_shadow)",Reference renderer implements one directional preview light; production shadows remain downstream.,Partially implemented
M304,Materials and color,HDR exposure and tone mapping,Scene-linear color is exposed and mapped through declared preview operators.,c_exposed=2^EV*c; c_out=tone_map(c_exposed),Makes output transforms reproducible.,Implemented + tested
M305,Materials and color,OCIO and ACES metadata target,Color-pipeline records may name an OCIO configuration and ACES profile/view.,"color_contract=(working_space,display,view,config,profile)",Interchange target only; this package does not bundle an OCIO runtime.,Metadata specified
M306,Materials and color,Transparency policy,"Opaque, mask and blend modes are explicit material states.","alpha_mode in {OPAQUE,MASK,BLEND}",Prevents implicit ordering and collision semantics.,Implemented + tested
M307,Game runtime and animation,Fixed simulation clock separation,Authoritative simulation advances in fixed dt while input and presentation may use separate clocks.,t_tick=n*dt_fixed,Makes rollback and event ordering explicit.,Implemented + tested
M308,Game runtime and animation,ECS component mapping,"Scene, support, relation, motion, interaction and lineage data map to explicit engine components.","entity -> {Transform,Asset,Support,Compatibility,Lineage,...}",Adapter contract; no engine-specific fork is authoritative.,Specified
M309,Game runtime and animation,Skeletal hierarchy contract,Joints form an acyclic transform hierarchy with inverse-bind and pose data.,p_skinned=sum_i w_i T_joint_i B_i^-1 p_rest,Production animation extension; no skinned character is bundled.,Specified
M310,Game runtime and animation,Animation state-machine contract,"Clips, blend states and guarded transitions carry versioned event labels.","state_next=transition(state,guard,event)",Animation events use the same event authority boundary.,Specified
M311,Game runtime and animation,IK and maintained-constraint bridge,The 2.0 damped least-squares IK operator is connected to explicit joint-limit/constraint status.,delta_q=J^T(JJ^T+lambda^2 I)^-1 e,2.0 reference implementation retained; 3D production constraints remain application-specific.,Inherited implementation + specified bridge
M312,Game runtime and animation,Conventional rigid-body fallback,Unsupported contacts and dense constraints may be delegated to a conventional physics solver.,unsupported_relation -> physics_adapter,Prevents the event substrate from pretending to replace general contact mechanics.,Specified boundary
M313,Game runtime and animation,Impact versus persistent constraint split,"Crossing/impact produces an event; resting contact, joint and grasp use maintained constraints.",impact -> event; contact_interval -> constraint_mode,Avoids infinite coincident-event emission.,Specified boundary
M314,Game runtime and animation,Character sweep-controller contract,"Capsule/shape sweeps return travel fraction, normal, support and compatibility status.",hit=min valid TOI along displacement,Target interface for playable movement.,Specified; not implemented
M315,Two-hand interaction,Typed hand state,"Each hand records side, wrist pose, joints, radii, confidence, tracking state, source and timestamp.","HandState=(side,wrist,joints,radii,confidence,status,time)","Input adapter boundary for XR, mocap or desktop emulation.",Implemented + tested
M316,Two-hand interaction,Pinch hysteresis,Separate enter and exit distances prevent noisy pinch chatter.,"enter if d<=d_enter; exit if d>=d_exit, d_exit>d_enter",Produces guarded interaction state with reason codes.,Implemented + tested
M317,Two-hand interaction,Bimanual midpoint frame,The pair midpoint is the translation anchor for cooperative transforms.,m=(p_left+p_right)/2,Stable pair frame independent of world origin.,Implemented + tested
M318,Two-hand interaction,Bimanual scale,Object scale follows current hand separation relative to anchor separation within clamps.,"s=clamp(||r-l||/||r0-l0||,s_min,s_max)",Supports direct two-hand sizing with a declared degeneracy policy.,Implemented + tested
M319,Two-hand interaction,Bimanual twist and alignment,Shortest-axis alignment combines with averaged wrist twist around the current pair axis.,q=q_twist*q_align; q_align maps a0 to a1,Provides rotation without Euler-angle discontinuities.,Implemented + tested
M320,Two-hand interaction,Cooperative grab ownership,One- and two-hand ownership transitions are an explicit state machine.,none -> one -> two -> one -> none,"Supports join, release and simultaneous-grab events.",Implemented + tested
M321,Two-hand interaction,Handover lineage event,"When one hand releases a two-hand object, ownership persists under the remaining hand with a lineage label.","owners={L,R}->{R} emits handover",Preserves interaction ancestry instead of silently changing controller.,Implemented + tested
M322,Two-hand interaction,Tracking confidence and desktop fallback,Low-confidence/untracked poses reject transforms; cursor input can emulate the same schema.,accepted=tracked and confidence>=floor,Makes XR optional and keeps tests reproducible.,Implemented + tested
M323,"Networking, editor and validation",Authoritative event sequence,Every committed event receives a monotonic sequence number and pre/post state hashes.,sequence_next=sequence+1,Replication and editor timelines use the same ordering.,Implemented + tested
M324,"Networking, editor and validation",Checkpoint and rollback,Runtime snapshots are hashed and later events can be replayed from the nearest checkpoint.,state_k=checkpoint_j + replay(events j+1..k),Reference rollback path for deterministic profiles.,Implemented + tested
M325,"Networking, editor and validation",Deterministic canonical state hash,"Canonical JSON over schema, scene and runtime counters produces a comparison digest.",h_state=SHA256(canonical(state)),Divergence detector; digest is not a replacement for full state.,Implemented + tested
M326,"Networking, editor and validation",Schema and asset negotiation,"Peers exchange schema version, mechanism support and asset hashes before authoritative replay.",compatible_peer=schemas_match and required_assets_available,Production networking contract.,Specified
M327,"Networking, editor and validation",Editor diagnostics and inspector records,"Scene audits, event timelines, culling reasons, lineage edges and runtime metrics are machine-readable.","diagnostic=(severity,code,subject,message,metrics)",Makes hidden support/guard/lineage state inspectable.,Implemented + tested
M328,"Networking, editor and validation",Replay divergence detection,Replay stops at the first sequence whose expected and actual state hashes differ.,divergence=min{k: h_expected(k)!=h_actual(k)},Prevents silent cross-platform desynchronization.,Implemented + tested
M329,"Networking, editor and validation",Physical-GPU benchmark promotion gate,"GPU performance claims require a named physical device, driver, workload, precision and equal-error baseline.",promote_claim iff physical_gpu and metrics_complete and oracle_match,Retains the 1.1/2.0 evidence boundary.,Acceptance gate; not claimed
